Order_ID,Date,Region,Product,Sales,Profit,Quantity
2001,2025-01-01,North,Laptop,55000,8000,2
2002,2025-01-03,South,Phone,25000,4000,3
2003,2025-01-05,East,Tablet,18000,2500,2
2004,2025-01-07,West,TV,40000,6000,1
2005,2025-01-09,North,Laptop,60000,9000,2
2006,2025-01-11,South,Phone,27000,4200,3
2007,2025-01-13,East,Tablet,20000,3000,2
2008,2025-01-15,West,TV,42000,6500,1
2009,2025-01-17,North,Laptop,65000,9500,2
2010,2025-01-19,South,Phone,30000,4500,4
2011,2025-01-21,East,Tablet,22000,3200,2
2012,2025-01-23,West,TV,45000,7000,1
2013,2025-01-25,North,Laptop,70000,10000,3
2014,2025-01-27,South,Phone,32000,4800,4
2015,2025-01-29,East,Tablet,24000,3500,2
2016,2025-02-01,West,TV,47000,7300,1
2017,2025-02-03,North,Laptop,72000,10500,3
2018,2025-02-05,South,Phone,34000,5000,4
2019,2025-02-07,East,Tablet,26000,3700,2
2020,2025-02-09,West,TV,50000,7800,1
