Order_ID,Date,Region,Product,Category,Sales,Quantity,Profit
1001,2024-01-05,South,Phone,Electronics,15000,2,3000
1002,2024-01-07,North,Laptop,Electronics,55000,1,8000
1003,2024-01-08,East,Shirt,Clothing,1200,3,300
1004,2024-01-10,West,Shoes,Clothing,2500,2,500
1005,2024-01-12,South,TV,Electronics,30000,1,4000
1006,2024-01-15,North,Tablet,Electronics,,1,2000
1007,2024-01-18,East,Jeans,Clothing,2000,2,400
1008,2024-01-20,West,Watch,Accessories,5000,1,1000
1009,2024-01-22,South,Bag,Accessories,3000,2,600
1010,2024-01-25,North,Phone,Electronics,16000,2,3200
1011,2024-01-27,East,Shirt,Clothing,1200,3,300
1012,2024-01-28,West,Shoes,Clothing,2500,2,500
1013,2024-01-30,South,TV,Electronics,30000,1,4000
1014,2024-02-01,North,Laptop,Electronics,60000,1,9000
1015,2024-02-03,East,Jeans,Clothing,2200,2,450
1016,2024-02-05,West,Watch,Accessories,5200,1,1100
1017,2024-02-07,South,Bag,Accessories,3500,2,700
1018,2024-02-09,North,Tablet,Electronics,20000,1,2500
1019,2024-02-10,East,Shirt,Clothing,1300,3,350
1020,2024-02-12,West,Shoes,Clothing,2600,2,550
